SubCatch	Aquer	a	b	hmax	slope_bog	maxVol	Breite_Damm
40	22.5916096131	1.78	2.09	3.5625714748	0.5601035191	46.567028902	12.6827544502
41	14.0298368557	1.78	2.09	2.8074776611	0.701817114	16.5461507942	9.9946204737
42	20.4257634646	1.78	2.09	3.3874987843	0.7037177482	29.4477742793	12.0594956722
43	20.5424903771	1.78	2.09	3.3971642485	0.894249829	20.2445663019	12.0939047245
44	16.5733935085	1.78	2.09	3.0513759568	0.6255644311	25.0501199854	10.8628984061
45	20.6623791479	1.78	2.09	3.4070629834	0.9512524562	18.1442958645	12.129144221
46	23.7334938411	1.78	2.09	3.6514960641	0.99854907	20.2992101602	12.9993259882
48	16.5261502887	1.78	2.09	3.0470238094	0.7733746851	18.4536534191	10.8474047613
49	22.8956644957	1.78	2.09	3.5864652323	1.1025196292	15.0785670012	12.7678162271
50	16.9245626236	1.78	2.09	3.0835338897	0.4989371208	34.2994210007	10.9773806475
51	23.0366667103	1.78	2.09	3.5974918471	1.0670717584	16.5870674733	12.8070709757
52	19.7204015252	1.78	2.09	3.3284947441	0.8266767152	21.7927765466	11.8494412889
53	24.5338185417	1.78	2.09	3.7125522386	1.1225353843	15.9520094352	13.2166859695
54	21.8783909844	1.78	2.09	3.5058851793	0.8096099116	26.4757395086	12.4809512381
55	25.8699233873	1.78	2.09	3.8123043982	0.7381150199	39.5787506627	13.5718036575
56	23.8409140575	1.78	2.09	3.6597502568	0.9636049565	22.0471688322	13.0287109143
57	21.5974622948	1.78	2.09	3.4833038604	0.7600614453	28.6570477099	12.4005617429
58	26.0439555883	1.78	2.09	3.8251059755	0.9727270233	24.7840451007	13.6173772728
59	25.9295193927	1.78	2.09	3.8166930354	0.8056347413	34.6970859576	13.5874272059
61	19.7366588622	1.78	2.09	3.3298664533	0.704393884	27.8887871471	11.8543245737
62	27.3192769224	1.78	2.09	3.9176406654	0.8637569785	33.4630563993	13.9468007689
63	24.0451507769	1.78	2.09	3.6753927236	0.9492007203	23.0333733964	13.0843980959
64	50.3170266807	1.78	2.09	5.3167652306	0.47886969	193.8199406023	18.9276842209
65	21.646405393	1.78	2.09	3.4872484721	1.038614458	16.0968009113	12.4146045607
66	17.3401956903	1.78	2.09	3.1211669247	0.8756869241	16.1825702593	11.1113542521
67	24.6761864341	1.78	2.09	3.7233084866	0.8623606926	28.6759519207	13.2549782124
