gof	precipSeconds	a0	a1	kSatSnow	densDrySnow	specCapRet	emissivitySnowMin	emissivitySnowMax	tempAir_crit	albedoMin	albedoMax	agingRate_tAirPos	agingRate_tAirNeg	soilDepth	soilDens	soilSpecHeat	weightAirTemp
0.1019349	86400	0.0005141314	0.0006963155	1.043002e-05	450	0.05	0.8491275	0.99	-0.4709055	0.3867779	0.8077762	1.109e-06	4.621e-07	0.1	1300	2.182	0.6242283
0.08820442	86400	0.001360814	0.0002644304	5.266971e-05	450	0.05	0.8371746	0.99	-0.3971085	0.4076762	0.8996233	1.109e-06	4.621e-07	0.1	1300	2.182	0.6822704
0.1085375	86400	0.0008834043	9.152096e-05	4.937557e-05	450	0.05	0.8444959	0.99	0.4535995	0.5728154	0.8225887	1.109e-06	4.621e-07	0.1	1300	2.182	0.655322
0.1342579	86400	0.004532622	0.001766182	4.217176e-05	450	0.05	0.806963	0.99	-0.3786471	0.3784157	0.8012779	1.109e-06	4.621e-07	0.1	1300	2.182	0.5187293
0.1136241	86400	0.000769556	4.647367e-05	5.06477e-06	450	0.05	0.8003522	0.99	-0.4341398	0.3585951	0.8909664	1.109e-06	4.621e-07	0.1	1300	2.182	0.4979257
0.1158509	86400	0.001750899	0.001581241	3.029741e-05	450	0.05	0.8174136	0.99	-0.1776428	0.3536993	0.8983469	1.109e-06	4.621e-07	0.1	1300	2.182	0.6719348
0.08378764	86400	0.004547525	0.0004895947	2.501802e-05	450	0.05	0.8394772	0.99	0.07033799	0.5896197	0.8260122	1.109e-06	4.621e-07	0.1	1300	2.182	0.401023
0.1024048	86400	0.003898706	0.0005307298	4.262145e-05	450	0.05	0.8449937	0.99	-0.4265727	0.3624853	0.8910608	1.109e-06	4.621e-07	0.1	1300	2.182	0.6634762
0.1144308	86400	0.004190769	0.000740518	1.522134e-05	450	0.05	0.8472948	0.99	-0.4427527	0.3661269	0.8632088	1.109e-06	4.621e-07	0.1	1300	2.182	0.2094838
0.1037135	86400	0.001467209	0.0001522190	5.515942e-05	450	0.05	0.8005685	0.99	-0.4209851	0.4394228	0.8848088	1.109e-06	4.621e-07	0.1	1300	2.182	0.693539
0.09295467	86400	0.003786148	0.0001139479	3.726188e-05	450	0.05	0.8018017	0.99	-0.1943566	0.4123175	0.8707588	1.109e-06	4.621e-07	0.1	1300	2.182	0.5168093
0.09704483	86400	0.002170258	0.001851821	2.728935e-06	450	0.05	0.8470247	0.99	0.4599388	0.3769248	0.8837113	1.109e-06	4.621e-07	0.1	1300	2.182	0.6834543
0.08001486	86400	0.002820148	0.0001972032	5.489768e-05	450	0.05	0.8460993	0.99	-0.1678732	0.4409182	0.869468	1.109e-06	4.621e-07	0.1	1300	2.182	0.5778642
0.08871029	86400	0.003492071	0.0005719761	2.637802e-05	450	0.05	0.8210146	0.99	-0.2695908	0.4784086	0.88539	1.109e-06	4.621e-07	0.1	1300	2.182	0.5348948
0.1206697	86400	0.004143774	0.001710516	4.699532e-05	450	0.05	0.8010317	0.99	0.297574	0.3752967	0.8502278	1.109e-06	4.621e-07	0.1	1300	2.182	0.6319307
0.1065058	86400	0.0001282663	0.0001897750	4.781374e-05	450	0.05	0.805366	0.99	-0.3247539	0.3697894	0.8584573	1.109e-06	4.621e-07	0.1	1300	2.182	0.5945704
0.08891755	86400	0.004620071	0.0001445549	5.398908e-05	450	0.05	0.8164602	0.99	0.3865106	0.3793378	0.8249615	1.109e-06	4.621e-07	0.1	1300	2.182	0.2064256
0.1015084	86400	0.002917899	0.001524800	8.691126e-06	450	0.05	0.8437952	0.99	0.3843117	0.3700808	0.8645773	1.109e-06	4.621e-07	0.1	1300	2.182	0.5376336
0.07157001	86400	0.003291902	0.0005949054	4.655089e-05	450	0.05	0.8485107	0.99	0.4411107	0.5750505	0.8620331	1.109e-06	4.621e-07	0.1	1300	2.182	0.2501458
0.08289366	86400	0.0004253352	0.0005475554	2.175053e-05	450	0.05	0.8133144	0.99	-0.1208583	0.4620393	0.87393	1.109e-06	4.621e-07	0.1	1300	2.182	0.5619073
0.09856117	86400	0.001877512	0.0008617931	5.34828e-05	450	0.05	0.8037048	0.99	-0.1969761	0.4204342	0.8508394	1.109e-06	4.621e-07	0.1	1300	2.182	0.5901502
0.1249574	86400	0.004301683	0.001840085	5.192095e-05	450	0.05	0.8162427	0.99	0.01102448	0.3602133	0.8674685	1.109e-06	4.621e-07	0.1	1300	2.182	0.6044425
0.09319857	86400	0.0004605288	0.0004929648	4.308734e-05	450	0.05	0.8008824	0.99	-0.05541882	0.4133295	0.8920012	1.109e-06	4.621e-07	0.1	1300	2.182	0.6425341
0.08172302	86400	0.0001506088	0.0004407975	4.751117e-05	450	0.05	0.8468917	0.99	-0.1080532	0.4238695	0.840334	1.109e-06	4.621e-07	0.1	1300	2.182	0.6055952
0.09554187	86400	0.0003784715	6.215112e-05	5.060934e-05	450	0.05	0.8080769	0.99	-0.2161972	0.3724403	0.8376375	1.109e-06	4.621e-07	0.1	1300	2.182	0.6270705
0.09141337	86400	0.0009700715	0.0002258566	2.249946e-05	450	0.05	0.8024288	0.99	-0.2364254	0.3904847	0.855668	1.109e-06	4.621e-07	0.1	1300	2.182	0.6512461
0.1294774	86400	0.003079093	0.001850590	5.390815e-05	450	0.05	0.8114673	0.99	-0.3311716	0.4046806	0.8143427	1.109e-06	4.621e-07	0.1	1300	2.182	0.6956926
0.1034845	86400	8.092476e-05	0.00045678	4.871693e-05	450	0.05	0.8076775	0.99	-0.4191674	0.3846022	0.8798432	1.109e-06	4.621e-07	0.1	1300	2.182	0.6990483
0.09402694	86400	0.003396753	6.806868e-05	3.794869e-05	450	0.05	0.8143706	0.99	-0.09862403	0.4473165	0.8560362	1.109e-06	4.621e-07	0.1	1300	2.182	0.6875536
0.09550883	86400	0.0005948138	0.00115899	8.422297e-06	450	0.05	0.84235	0.99	-0.07843265	0.4428175	0.813776	1.109e-06	4.621e-07	0.1	1300	2.182	0.4965789
