gof	precipSeconds	a0	a1	kSatSnow	densDrySnow	specCapRet	emissivitySnowMin	emissivitySnowMax	tempAir_crit	albedoMin	albedoMax	agingRate_tAirPos	agingRate_tAirNeg	soilDepth	soilDens	soilSpecHeat	weightAirTemp
0.1825001	86400	0.004606344	8.128251e-05	1.666270e-05	450	0.05	0.801022	0.99	0.2235406	0.3677452	0.8899815	1.109e-06	4.621e-07	0.1	1300	2.182	0.5307017
0.1994130	86400	0.0001290154	0.000776684	3.952637e-06	450	0.05	0.8412923	0.99	-0.04769395	0.5921293	0.8619104	1.109e-06	4.621e-07	0.1	1300	2.182	0.3282067
0.1562759	86400	0.0008161598	0.001301850	4.372032e-06	450	0.05	0.8006187	0.99	0.4481128	0.3771707	0.8795322	1.109e-06	4.621e-07	0.1	1300	2.182	0.2424611
0.1769457	86400	0.003388713	0.0001129751	1.91046e-05	450	0.05	0.8129492	0.99	-0.2245641	0.3921002	0.8629942	1.109e-06	4.621e-07	0.1	1300	2.182	0.6930452
0.1377916	86400	0.0007312524	0.001196564	1.740971e-05	450	0.05	0.8398452	0.99	0.1709911	0.572878	0.8063591	1.109e-06	4.621e-07	0.1	1300	2.182	0.4862451
0.1983855	86400	0.001840418	0.0002296763	1.344122e-05	450	0.05	0.8428804	0.99	-0.3200753	0.5664381	0.8092064	1.109e-06	4.621e-07	0.1	1300	2.182	0.3995926
0.1343968	86400	0.001350242	0.0008130682	2.613843e-05	450	0.05	0.8213273	0.99	-0.4268795	0.3992521	0.8955629	1.109e-06	4.621e-07	0.1	1300	2.182	0.3817048
0.1507535	86400	0.004515783	0.001739490	1.197941e-05	450	0.05	0.801724	0.99	0.08293502	0.5051752	0.8089987	1.109e-06	4.621e-07	0.1	1300	2.182	0.4400839
0.1652968	86400	0.001177662	0.0006458591	5.424187e-05	450	0.05	0.8113969	0.99	0.1794245	0.5286963	0.8939656	1.109e-06	4.621e-07	0.1	1300	2.182	0.2326705
0.1909560	86400	0.0001635601	0.0001522360	3.584069e-05	450	0.05	0.8003537	0.99	-0.07708014	0.3892675	0.8544337	1.109e-06	4.621e-07	0.1	1300	2.182	0.2507652
0.1977839	86400	0.001999530	0.000370004	1.237025e-05	450	0.05	0.8403984	0.99	0.2279467	0.4023767	0.850074	1.109e-06	4.621e-07	0.1	1300	2.182	0.683868
0.2159483	86400	0.0005519605	6.659898e-05	8.04495e-06	450	0.05	0.8449923	0.99	-0.4423401	0.3692193	0.8771306	1.109e-06	4.621e-07	0.1	1300	2.182	0.4916296
0.1394167	86400	0.004276431	0.001609984	4.983459e-05	450	0.05	0.8186004	0.99	0.1590764	0.4279295	0.8478209	1.109e-06	4.621e-07	0.1	1300	2.182	0.3826284
0.1406728	86400	0.00395385	0.001533997	3.135703e-05	450	0.05	0.8301306	0.99	0.1912547	0.3627328	0.8112716	1.109e-06	4.621e-07	0.1	1300	2.182	0.3302238
0.1491139	86400	0.003800097	0.001747880	5.131546e-06	450	0.05	0.8163296	0.99	-0.2918100	0.5424471	0.8083857	1.109e-06	4.621e-07	0.1	1300	2.182	0.3873404
0.1514418	86400	0.000942279	0.001657439	3.324294e-06	450	0.05	0.8090989	0.99	0.3796067	0.4232379	0.8924626	1.109e-06	4.621e-07	0.1	1300	2.182	0.4261258
0.1354414	86400	0.003721794	0.001498807	5.504896e-05	450	0.05	0.8046478	0.99	0.1140545	0.4447658	0.8023505	1.109e-06	4.621e-07	0.1	1300	2.182	0.535735
0.1501333	86400	0.003378251	0.001679712	2.864046e-06	450	0.05	0.8415208	0.99	-0.3051246	0.3739199	0.8654104	1.109e-06	4.621e-07	0.1	1300	2.182	0.6158384
0.1714524	86400	0.003965343	0.0002389340	1.274635e-05	450	0.05	0.8498494	0.99	-0.07239287	0.3651997	0.843765	1.109e-06	4.621e-07	0.1	1300	2.182	0.3768482
0.1636144	86400	0.0003509605	0.001177540	5.458522e-06	450	0.05	0.8331512	0.99	0.450585	0.3646809	0.8952764	1.109e-06	4.621e-07	0.1	1300	2.182	0.6002599
0.1629115	86400	0.004116872	0.0003298912	2.057848e-05	450	0.05	0.8386793	0.99	-0.4377044	0.5299362	0.8876112	1.109e-06	4.621e-07	0.1	1300	2.182	0.4533309
0.1478503	86400	0.002449531	0.001762460	3.068849e-06	450	0.05	0.8096141	0.99	-0.4922611	0.4052898	0.849353	1.109e-06	4.621e-07	0.1	1300	2.182	0.4370355
0.1580725	86400	0.001845418	0.0006377494	2.384259e-05	450	0.05	0.8440772	0.99	0.4117403	0.4124789	0.8273441	1.109e-06	4.621e-07	0.1	1300	2.182	0.2595287
0.2002907	86400	0.001613525	0.0002809148	5.010226e-05	450	0.05	0.8029118	0.99	0.4164189	0.4008385	0.8894056	1.109e-06	4.621e-07	0.1	1300	2.182	0.5543205
0.1437205	86400	0.002793872	0.001667142	1.563734e-05	450	0.05	0.8195625	0.99	-0.3280558	0.3612648	0.8678987	1.109e-06	4.621e-07	0.1	1300	2.182	0.53917
0.1410805	86400	0.003206347	0.001571603	8.711112e-06	450	0.05	0.848444	0.99	-0.1820307	0.3721640	0.8874765	1.109e-06	4.621e-07	0.1	1300	2.182	0.317433
0.1385540	86400	0.0002148541	0.001228854	5.322878e-05	450	0.05	0.8339947	0.99	0.3215872	0.4960667	0.8141733	1.109e-06	4.621e-07	0.1	1300	2.182	0.5128527
0.1371103	86400	0.001004648	0.001840725	2.984072e-05	450	0.05	0.8086355	0.99	0.3816918	0.3728801	0.84482	1.109e-06	4.621e-07	0.1	1300	2.182	0.6624387
0.1968116	86400	0.001264756	0.0003056882	2.157854e-05	450	0.05	0.8150103	0.99	0.2133693	0.3904533	0.8906557	1.109e-06	4.621e-07	0.1	1300	2.182	0.4317894
0.2047509	86400	0.0008376252	0.0002017222	1.691843e-05	450	0.05	0.8094012	0.99	0.1861016	0.3599193	0.870999	1.109e-06	4.621e-07	0.1	1300	2.182	0.6920993
0.1851397	86400	0.004412998	0.0001624852	1.625396e-05	450	0.05	0.8356308	0.99	0.438691	0.3519966	0.8719575	1.109e-06	4.621e-07	0.1	1300	2.182	0.4399277
0.1356971	86400	0.003410207	0.001481458	1.513296e-05	450	0.05	0.844317	0.99	-0.4461505	0.4503133	0.8927085	1.109e-06	4.621e-07	0.1	1300	2.182	0.2910137
0.1724140	86400	0.0007942427	0.001029241	4.735248e-06	450	0.05	0.84528	0.99	0.3417764	0.393891	0.8903785	1.109e-06	4.621e-07	0.1	1300	2.182	0.4967637
0.1370593	86400	0.003993411	0.001353811	1.508770e-05	450	0.05	0.8424875	0.99	0.3971948	0.4913849	0.8131261	1.109e-06	4.621e-07	0.1	1300	2.182	0.2858571
0.1325631	86400	0.002518862	0.001530534	5.217649e-05	450	0.05	0.8038542	0.99	-0.1265246	0.4339599	0.8573064	1.109e-06	4.621e-07	0.1	1300	2.182	0.2616843
0.1650113	86400	0.003889603	0.0002869421	4.907673e-05	450	0.05	0.8430146	0.99	0.2326392	0.3982124	0.811562	1.109e-06	4.621e-07	0.1	1300	2.182	0.2196850
0.1853635	86400	0.002874707	0.0003159160	3.368471e-05	450	0.05	0.808335	0.99	-0.1776108	0.5652509	0.884201	1.109e-06	4.621e-07	0.1	1300	2.182	0.6811366
0.1469699	86400	0.003509754	0.0005889083	4.244993e-05	450	0.05	0.8466368	0.99	0.01306298	0.5488164	0.800704	1.109e-06	4.621e-07	0.1	1300	2.182	0.3789161
0.1405306	86400	0.004320753	0.000911202	1.148834e-05	450	0.05	0.8313122	0.99	-0.09386298	0.3966198	0.8335648	1.109e-06	4.621e-07	0.1	1300	2.182	0.4945543
0.1412559	86400	0.003851422	0.001578123	9.027479e-06	450	0.05	0.8295773	0.99	-0.1347792	0.524629	0.8263289	1.109e-06	4.621e-07	0.1	1300	2.182	0.667728
